date,high,low,open,close,avg,volume
2013-01-02,17.0,16.5,16.5,16.8,16.741,2474280.0
2013-01-03,16.8,16.2,16.7,16.4,16.471,2733270.0
2013-01-04,16.8,16.2,16.3,16.6,16.496,2132210.0
2013-01-07,17.0,16.6,16.8,16.6,16.734,2252310.0
2013-01-08,17.4,16.5,16.5,17.3,16.995,4216410.0
2013-01-09,18.1,17.2,17.8,17.3,17.751,5797920.0
2013-01-10,17.9,17.1,17.3,17.9,17.47,2255250.0
2013-01-11,18.4,17.8,18.4,18.1,18.133,3875980.0
2013-01-14,18.3,17.6,17.8,17.9,17.927,2817430.0
2013-01-15,18.7,17.8,18.0,18.4,18.204,3048860.0
2013-01-16,19.0,18.4,18.7,18.6,18.656,2094470.0
2013-01-17,18.6,18.1,18.5,18.1,18.312,2908600.0
2013-01-18,18.1,17.6,18.0,17.7,17.799,2452790.0
2013-01-21,18.3,17.7,18.2,17.8,17.97,1661850.0
2013-01-22,18.0,17.0,17.8,17.2,17.38,2162460.0
2013-01-23,17.5,17.0,17.2,17.3,17.242,1425160.0
2013-01-24,17.8,17.3,17.4,17.8,17.561,1263620.0
2013-01-25,18.6,17.9,18.0,18.4,18.383,3449360.0
2013-01-28,19.4,18.5,18.6,18.9,18.999,4754420.0
2013-01-29,19.3,18.7,18.9,19.0,19.009,2148400.0
2013-01-30,19.3,18.8,19.1,19.0,19.048,2005370.0
2013-01-31,18.9,18.6,18.8,18.6,18.737,2437540.0
2013-02-01,18.6,18.3,18.5,18.5,18.42,1581680.0
2013-02-04,18.8,18.5,18.8,18.6,18.672,1165800.0
2013-02-05,18.7,18.4,18.5,18.6,18.564,1003820.0
2013-02-06,19.5,18.7,18.8,19.2,19.039,1261810.0
2013-02-07,19.5,19.2,19.4,19.4,19.347,1313760.0
2013-02-08,19.6,19.2,19.4,19.4,19.445,1281420.0
2013-02-18,20.0,19.4,19.6,19.6,19.652,1941090.0
2013-02-19,19.7,19.2,19.6,19.3,19.508,2381710.0
2013-02-20,19.5,19.0,19.3,19.3,19.217,2172780.0
2013-02-21,19.5,18.0,19.4,18.0,18.785,2882510.0
2013-02-22,18.8,17.8,18.6,18.3,18.185,3612190.0
2013-02-25,18.5,18.2,18.3,18.3,18.338,831410.0
2013-02-26,18.3,17.2,18.2,17.3,17.751,2574750.0
2013-02-27,17.8,17.1,17.5,17.8,17.511,1856640.0
2013-02-28,18.4,17.8,18.0,18.1,18.132,1367940.0
2013-03-01,18.3,18.0,18.1,18.1,18.111,1109840.0
2013-03-04,18.1,17.2,18.1,17.3,17.59,1866190.0
2013-03-05,17.5,16.9,17.2,17.2,17.196,1773310.0
2013-03-06,17.6,17.3,17.6,17.5,17.435,549630.0
2013-03-07,17.7,17.2,17.5,17.4,17.443,792750.0
2013-03-08,17.7,17.4,17.4,17.6,17.568,680480.0
2013-03-11,18.2,17.6,17.8,18.2,17.877,1006000.0
2013-03-12,18.3,17.6,18.2,18.0,17.949,1455420.0
2013-03-13,18.1,17.8,18.1,17.8,17.974,1096700.0
2013-03-14,18.0,17.7,17.8,17.8,17.828,365220.0
2013-03-15,18.1,17.8,17.8,18.0,17.938,737050.0
2013-03-18,18.1,17.8,18.0,17.8,17.887,791230.0
2013-03-19,17.9,17.6,17.7,17.9,17.756,564980.0
2013-03-20,18.2,17.8,17.9,17.9,18.014,798610.0
2013-03-21,18.3,18.0,18.0,18.1,18.141,1474410.0
2013-03-22,18.2,17.6,18.2,17.8,17.883,892970.0
2013-03-25,18.0,17.7,17.9,17.9,17.862,377340.0
2013-03-26,18.1,17.8,18.0,17.8,17.944,852060.0
2013-03-27,17.8,17.5,17.8,17.5,17.645,932910.0
2013-03-28,17.8,17.4,17.5,17.4,17.554,882660.0
2013-03-29,17.5,17.0,17.2,17.5,17.24,1242810.0
2013-04-01,18.0,17.3,17.3,18.0,17.616,1235400.0
2013-04-02,18.5,18.0,18.0,18.0,18.234,2162610.0
2013-04-03,18.2,17.8,18.0,17.9,18.005,1191170.0
2013-04-04,18.0,17.7,17.9,17.7,17.806,1122120.0
2013-04-05,17.9,17.6,17.9,17.9,17.758,867680.0
2013-04-08,18.8,18.0,18.0,18.5,18.333,3156030.0
2013-04-09,19.1,18.4,18.5,19.0,18.79,3700250.0
2013-04-10,19.2,18.5,19.0,18.5,18.857,1776470.0
2013-04-11,18.6,18.1,18.6,18.3,18.395,2215430.0
2013-04-12,18.4,17.7,18.4,17.8,17.961,1448730.0
2013-04-15,17.8,17.3,17.8,17.4,17.505,1816500.0
2013-04-16,17.6,17.0,17.2,17.4,17.3,1264560.0
2013-04-17,17.6,17.3,17.5,17.5,17.445,467920.0
2013-04-18,17.5,17.2,17.4,17.2,17.271,874900.0
2013-04-22,17.3,16.8,17.2,16.9,16.993,954610.0
