date,high,low,open,close,avg,volume
2013-01-02,82.0,79.0,79.5,80.0,80.622,106720.0
2013-01-03,80.0,79.0,80.0,80.0,79.702,118830.0
2013-01-04,80.5,79.0,80.0,80.0,79.924,162880.0
2013-01-07,84.0,80.5,80.5,83.5,83.103,370650.0
2013-01-08,85.0,83.5,84.5,84.5,84.235,363210.0
2013-01-09,84.5,83.0,84.5,83.0,83.848,81350.0
2013-01-10,83.0,81.0,83.0,83.0,82.468,120980.0
2013-01-11,84.5,82.5,84.5,83.5,83.394,171140.0
2013-01-14,84.0,83.0,84.0,83.5,83.514,215400.0
2013-01-15,85.5,83.5,85.0,83.5,84.117,160930.0
2013-01-16,85.5,83.5,85.0,84.5,84.639,237940.0
2013-01-17,85.5,84.5,85.0,85.0,84.976,137110.0
2013-01-18,85.5,84.5,85.0,85.0,84.887,255380.0
2013-01-21,85.5,84.0,84.5,84.0,84.538,133100.0
2013-01-22,67.0,64.5,67.0,65.0,65.127,200700.0
2013-01-23,66.5,65.0,65.5,65.5,65.566,305690.0
2013-01-24,66.0,65.0,65.5,65.5,65.436,248840.0
2013-01-25,66.5,65.5,65.5,66.0,65.97,352190.0
2013-01-28,68.0,67.0,67.5,67.0,67.285,331350.0
2013-01-29,67.5,66.5,67.0,67.0,66.965,312550.0
2013-01-30,67.5,66.5,67.0,67.0,67.009,596680.0
2013-01-31,67.0,66.0,66.0,66.5,66.384,131930.0
2013-02-01,67.0,66.0,66.5,67.0,66.582,248180.0
2013-02-04,67.5,67.0,67.0,67.0,67.01,244350.0
2013-02-05,68.0,67.0,67.0,67.0,67.026,825040.0
2013-02-06,68.0,67.0,68.0,67.5,67.439,245610.0
2013-02-07,68.0,67.0,68.0,67.5,67.078,104460.0
2013-02-08,68.0,66.0,67.0,67.5,67.035,96950.0
2013-02-18,67.5,66.0,67.5,66.0,66.774,117770.0
2013-02-19,68.0,66.5,68.0,67.0,67.052,463190.0
2013-02-20,67.5,66.5,67.5,67.0,67.01,145770.0
2013-02-21,67.0,65.0,66.5,65.0,66.137,541840.0
2013-02-22,66.0,63.5,65.0,64.0,64.583,109240.0
2013-02-25,65.0,64.0,65.0,65.0,64.657,60860.0
2013-02-26,64.5,61.5,64.5,62.5,63.091,145630.0
2013-02-27,63.5,62.0,62.5,63.5,62.538,115050.0
2013-02-28,67.5,63.5,63.5,67.0,66.045,551700.0
2013-03-01,68.0,66.0,68.0,66.0,67.17,132410.0
2013-03-04,70.0,66.5,67.5,68.0,68.293,379190.0
2013-03-05,67.5,66.0,67.5,66.0,66.402,415340.0
2013-03-06,68.0,65.5,68.0,66.0,66.158,94290.0
2013-03-07,66.0,64.5,66.0,64.5,65.113,283370.0
2013-03-08,65.5,64.5,65.0,65.0,64.873,73590.0
2013-03-11,66.0,64.5,65.0,66.0,65.155,1276730.0
2013-03-12,65.5,63.5,65.0,63.5,63.891,169070.0
2013-03-13,65.0,63.0,64.5,63.5,63.612,144800.0
2013-03-14,64.0,63.0,63.5,64.0,63.702,75210.0
2013-03-15,65.5,64.0,64.5,65.5,65.155,415500.0
2013-03-18,66.0,64.5,65.5,64.5,65.378,1361930.0
2013-03-19,65.5,64.0,64.0,64.5,64.785,58810.0
2013-03-20,65.0,64.0,64.0,65.0,64.704,61650.0
2013-03-21,66.0,65.0,65.0,65.5,65.233,94400.0
2013-03-22,67.5,65.0,65.5,65.0,66.499,210740.0
2013-03-25,67.0,65.0,65.0,66.5,66.221,286920.0
2013-03-26,67.5,66.0,67.0,66.0,66.645,154130.0
2013-03-27,66.0,64.5,66.0,64.5,64.913,114830.0
2013-03-28,65.0,63.0,65.0,64.0,63.691,179090.0
2013-03-29,64.0,63.0,63.0,63.5,63.415,36080.0
2013-04-01,65.5,63.5,64.0,65.5,64.341,2088590.0
2013-04-02,66.0,64.5,64.5,66.0,65.402,95700.0
2013-04-03,66.0,63.5,65.0,64.5,64.628,124760.0
2013-04-04,65.0,62.5,65.0,63.5,63.42,116840.0
2013-04-05,65.5,64.0,64.5,65.0,64.978,218290.0
2013-04-08,66.0,64.5,66.0,65.0,65.109,99740.0
2013-04-09,65.0,63.5,64.5,64.0,64.25,141820.0
2013-04-10,64.0,63.0,64.0,63.0,63.49,1455340.0
2013-04-11,64.0,62.5,63.0,64.0,62.856,133050.0
2013-04-12,64.0,62.5,64.0,63.5,63.275,98270.0
2013-04-15,63.5,60.0,63.5,62.0,62.049,82290.0
2013-04-16,62.0,59.5,61.0,62.0,60.452,246990.0
2013-04-17,63.0,61.0,62.0,62.0,61.867,109460.0
2013-04-18,61.5,60.0,60.5,61.5,60.671,463190.0
2013-04-22,61.5,60.0,61.0,61.0,60.304,204960.0
2013-04-23,61.5,60.5,61.5,61.5,61.063,332620.0
2013-04-24,61.5,61.0,61.0,61.0,61.16,181360.0
2013-04-25,62.0,61.0,61.5,62.0,61.459,59080.0
2013-04-26,62.0,61.0,61.0,62.0,61.579,82480.0
2013-05-02,64.0,61.0,61.0,63.5,63.222,226900.0
2013-05-03,64.0,62.5,62.5,63.5,63.505,73490.0
2013-05-06,64.5,64.0,64.0,64.0,64.045,77570.0
2013-05-07,64.5,63.5,64.0,64.0,63.933,340450.0
2013-05-08,64.5,64.0,64.0,64.5,64.226,129240.0
2013-05-09,64.5,63.5,63.5,64.5,64.195,61220.0
2013-05-10,65.0,62.5,64.5,64.0,63.457,144130.0
2013-05-13,64.5,63.0,64.0,64.5,64.173,82340.0
2013-05-14,64.5,63.5,64.5,64.5,64.103,79160.0
2013-05-15,64.5,63.5,64.5,64.0,63.586,115010.0
2013-05-16,64.5,63.5,64.5,63.5,63.873,58710.0
2013-05-17,64.0,63.5,64.0,64.0,63.577,41100.0
2013-05-20,64.0,63.0,64.0,64.0,63.986,20020.0
2013-05-21,64.5,63.0,63.0,64.5,64.07,31840.0
2013-05-22,66.0,64.0,64.0,66.0,65.06,246700.0
2013-05-23,66.0,64.0,66.0,64.0,65.201,199720.0
2013-05-24,65.5,64.0,64.0,65.0,64.912,445036.0
2013-05-27,67.5,65.0,65.0,67.0,66.32,255140.0
2013-05-28,68.0,66.5,67.0,67.0,67.3,354970.0
2013-05-29,71.5,65.0,67.5,71.5,69.21,848370.0
2013-05-30,75.5,71.5,73.5,71.5,72.52,1325820.0
2013-05-31,73.0,68.0,73.0,68.0,69.687,759040.0
2013-06-03,70.0,67.0,68.0,69.0,69.13,183400.0
2013-06-04,73.5,71.5,73.5,71.5,72.4,2422400.0
2013-06-05,71.0,69.5,71.0,69.5,69.991,635050.0
2013-06-06,69.5,68.5,69.0,68.5,69.09,549640.0
2013-06-07,69.5,68.0,68.5,69.5,68.5,906520.0
2013-06-10,72.0,70.0,72.0,70.0,70.96,1263220.0
